Club Name,Advisor Name,Description,Day (1-10),Meeting Time (Flex/Long Break),Major/Minor,Activity Type
Lower School Storytime Buddies,Lein,"For our first few meetings we will do quick workshops on how to have good story telling techniques. The rest of the year we will alternate between planning for our trips to the Lower School, and reviewing books we can read and visiting the Lower School to actually do the activities. We get into small groups so each upper school student has 2-3 lower school students and we read books to them.",10,Flex,major,Service
Math Peer Tutoring,Chirlian,"Math Peer Tutoring offers a chance for students to learn about teaching math while helping their peers. You'll work closely with math teachers to develop skills such as clear communication, problem-solving, and teaching techniques. Later in the year, you'll be able to set up individual sessions with peers who need extra help. To join, you should have completed Algebra II and be excited about math and teaching others.","3, 8",Long Break,major,Peer Tutoring
Math Team,Rebholz,"We are participating in the ""Philadelphia Area Math League for Independent Schools"". This is a Fall league where students meet before school for 30-min online weekly matches, which alternate in group and individual format. At the end of the season there is also an in-person playoff event. The Shipley Math Team has enjoyed a great history over the years, but the focus is on fun and team spirit.","3, 8",Long Break,major,Academic
Mock Trial,Simpson,"The Mock Trial activity involves a simulation of a civic or criminal trial, with witnesses, plaintiffs, and attorneys on both sides. The competition is held in a real courtroom (last year at Delaware County Courthouse) with real judges presiding, and real attorneys acting as the jury. If you're intrigued by the legal world, enjoy public speaking, are good at communicating, or enjoy playing a theatrical role, you might want to consider this hands-on experience. Whether you are a witness or an attorney, you will learn valuable skills, from public speaking to legal research; those playing witnesses will also improve their acting skills. The club meets every week, with optional training sessions held for case discussion when competition is getting closer.","3, 8",Flex,major,Academic
Model UN,Winters,"For students interested in international relations, history, and politics, this activity offers a great opportunity to develop public-speaking, problem-solving and collaborative skills. Shipley delegates will attend the NAIMUN Model UN conference Washington, D.C. in February. At the conference, students represent specific nations or participate in panels addressing issues of global concern, such as global warming, terrorism, or economic development. Having the time and the motivation to properly research any topic is essential. Open to all Upper School students, but prospective members will have to produce a short research paper and participate in try-outs in order to join.",1,Flex,major,Academic
Morgan's Message,Atkins,"Morgan's Message is a chapter of the larger nation wide Morgan Message club. Our goal is to eliminate stigma behind student-athlete mental health. We aim to expand the dialogue on mental health by normalizing conversations, empowering those who suffer in silence, and supporting those who feel alone.",9,Flex,major,"Activism, Service"
Music Mentors,Givler,"Music has the power to inspire, connect, and build confidence in students of all ages. The Music Mentors program seeks to create a bridge between the Shipley Upper and Lower School communities by pairing Upper School music students with younger musicians in band, orchestra, and choir. Through weekly mentorship, Upper School students will provide guidance, encouragement, and practical support, fostering a stronger community and promoting music as a lifelong passion.","3, 8",Flex,major,Music/Arts
National History Day,Gillin,"National History Day is a competition that allows you to explore topics that you may have never heard of before, or dive further into topics that you have heard of. Each year, there is a theme and each history project must follow that theme. There are a multitude of project types like documentary, website, exhibit or poster, performance, and more. The competition has local, state, and national levels.",7,Flex,minor,Academic
Neurodivergence Affinity Club,Strickler & White,"The Neurodivergence Affinity Group aims to provide a space where students identifying as neurodivergent can receive useful strategies for their learning and personal life, as well as simply being an environment where students can socialize with students with similar struggles and quirks!",4,Flex,major,Affinity/Heritage
Photography Club,Winters,"Photography club is a place for people of all skill levels to improve. In this club, you learn what makes up both a camera and a photograph.",8,Flex,minor,Publications/Media
Ping Pong Club,Winters,Ping Pong Club plays Ping Pong together every meeting. Join us!,4,Flex,minor,"Games & Fun, Sports/Wellness"
Plates of Promise,Atkins,"Our club is dedicated to fighting hunger in our community by collecting and donating food to local food banks and shelters. We believe that everyone deserves access to nutritious meals, and through regular food drives and volunteer efforts, we aim to make a positive impact one meal at a time. Whether it's organizing donations or spreading awareness, we're committed to helping those in need.",4,Flex,minor,Service
Politics & Activism,"Goren, Gillin","A club for civically engaged students, we typically discuss current events and ways to get involved in our local community. We aim to distribute a monthly newsletter, to facilitate voter registration, and to share information about ways to make one's voice heard.",2,Flex,minor,Activism
PRIDE,"White, Gillin","PRIDE is a space to discuss LGBTQ issues, to work towards a more inclusive Shipley and world at large, and to plan awesome events. Anyone interested in LGBTQIA+ rights, including allies, is welcome to join. LGBTQIA+ Affinity Group is for those who identify within the LGBTQIA+ community, including folks who are questioning. It is a space to build community, share what's going on in our lives, and support each other.",3,Flex,major,Affinity/Heritage
Quiz Bowl,Varner,Quiz bowl is a fast-paced trivia competition in which teams of four players compete to answer questions that cover academic subjects like literature and science as well as the broader world of popular culture and current events. We will be competing in tournaments where we can test our knowledge against other schools! Everyone is welcome on the team!,10,Flex,minor,Games & Fun
Robotics Team,Rogers,"A brand-new Robotics Club is kicking off this fall! Our season runs September through April, with practices Monday--Thursday, 3:30--5:00 pm. We're building an FTC competition team, and we need coders, builders, marketers, engineers, and anyone who just wants to have fun---no experience needed! Don't worry if you've got schedule conflicts, we'll work it out together. Ready to join? Sign ups and more info can be found HERE!","2, 3, 7, 8",Flex,major,Academic
Science Olympiad,"Devlin, Shepherd","Science Olympiad is a STEM competition in which a group of 15 students pair up to compete in 23 events which involve building devices, performing labs, test taking, and a combination of these types of skills (www.SOInc.org). The club consists of many more than 15 students as we work together as a larger team to have fun at multiple tournaments throughout the year.","3, 8",Flex,major,Academic
Service/Global Programs Committee,Winters + Pidot,"Enjoy organizing and participating in service events? Do you have a global outlook? The Service/Global Programs Committee helps plan service/global programs activities happening at Shipley by giving input, organizing for the event, helping to run events, making posters, working on the bulletin board, and creating new activities. Events include (but are not limited to) Super Saturday, Global Ed Film Fest, Thanksgiving, virtual exchanges with students in different countries, fostering connections with international families, and much more! Come join us in making a difference in our community and the world!",9,Flex,major,Committees/Leadership
Shamrock Society,Schaud,"Shamrock Society is available to any student who wants to learn and experience Irish heritage, culture, art, music, dance, and more. This club explores various aspects of Irish cuisine, culture events and festivals.",8,Flex,major,Affinity/Heritage
Shipley Spirit Squad,"Brower, Foltiny","Spirit Squad is a mixed dance/cheer team that performs at several events throughout the year, including Super Saturday, pep rallies, and Swamp Night. It is open to all students in the Upper School and anyone can join regardless of their dance/cheer experience. Some rehearsal outside of the activity/club block may be needed, as well as attendance at weekend/evening events listed above. Student leaders play a large part in choreography and organization.",9,Flex,minor,Music/Arts
Shipley Storytelling,Jennings,"Stories make us more human, they locate us in questions that we long to answer, they connect us across time, space, and geography. In this club, we will build a storytelling community: a network of tellers, listeners, and meaning-makers. Through creative narrative writing prompts, social story drafting, and storytelling, we will explore stories that matter to us. Grounded in The Moth's storytelling principles, this club will also form the ""social drafting team"" for Gator Congregation storytellers.","2, 10",Flex,major,Music/Arts
Shipley TV,"Staples, Deal","Are you interested in media, pop culture, or film production? Shipley TV is a club that gives you the opportunity to explore your interests in a way never offered before. As a group, we will work together to produce weekly news broadcasts that will be posted on social media and shared with the student body. In this club, there is a role for everyone: on-camera hosts, behind the scenes producers, editors, social media managers, and script writers are just some of the unique positions available for members of the club.","5, 10",Flex,major,Publications/Media
Simon's Heart Club,Winters,"The Simon's Heart Club is a club made to raise awareness for sudden cardiac arrest. In the club, we will help raise money for the Simon's Heart organization, help design the annual 'Simon's Heart Sweatshirt,' and come up with various other fundraiser ideas, including making posters and much more.",6,Flex,major,Service
SPARC,Norquist,"SPARC offers students the opportunity to advise the school about issues that matter in students' lives at Shipley. We research topics that students identify as important to them in their life at Shipley, and we present our findings and recommendations at a conference at the University of Pennsylvania. SPARC is an excellent opportunity to learn about university-level research, and to connect with Penn.","1, 9",Flex,major,"Academic, Activism"
Sports Debate Club,Richard,"In this Club, we are planning to gather students to talk about the different sports going on in the world. We plan to debate various sports while making it fun for everyone. We want people in the club to learn about various sports and help improve their debating. We want to create some fun ""game of the week"" and the winner at the end of the year gets a reward.",4,Flex,minor,Games & Fun
Sprouts,"Sterling, Couture, Eiteljorg","Shipley's horticulture club has been in existence for more than 40 years and competes annually in the Philadelphia Flower Show. Members design, plant, and care for pots of flower bulbs and succulents, which are submitted as entries in the Flower Show each winter (winning numerous ribbons and awards). Sprouts members are also involved in ""greening"" the school for the holidays, planting the raised-bed gardens, and preparing plants for sale each spring. While no experience is necessary, members must be dedicated to attending at least one meeting each rotation. The small greenhouse space limits participants to no more than 15 total.","2, 7",Flex,major,Academic
STEAM,Brandão,"STEAM club provides students with the opportunity to learn how to utilize the tools and machines in the Shipley makerspace. For anyone who enjoys STEAM or even for those who are curious about it, this is the place! We have a structured plan for activities but are open to new ideas and would love to base our projects off of what the student body prefers. Our ultimate goal is to provide an open environment where students have the ability to create without limits both individually and as a team. We hope to hold friendly competitions within the club and complete a few service projects along the way.",7,Flex,minor,Academic
The Beacon - Staff,"Maurer, Staples","The Beacon is the official student newspaper for the school. Established in 1955, it is a forum for students to learn about journalism by researching and writing articles relevant to the school and greater community. You might be interested in a specific area of journalistic writing like sports, news, entertainment, investigative stories, profiles, and opinion. Meetings are once a rotation and used for pitching your article idea or volunteering for one of the pitches presented. Assignments are generally due a week from pitches. If you are a solid writer and can meet a deadline then joining the newspaper might be for you!",1,Flex,major,Publications/Media
The Shipley Finance Forum,Rebholz,"In this Club, you will learn the basics of investing in the stock market and be able to apply the skills that you learn in a risk-free virtually simulated stock market competition (marketwatch). Executives and professors well-versed in the industry will present throughout the year on various topics and to provide advice and give background on their path to success in the finance industry.",7,Flex,major,Business
Ultimate Frisbee,"Wellenbach, White","Come join us to get a little exercise playing either Ultimate Frisbee or disc golf. Ultimate Frisbee is an action-packed game that combines some of the best elements of sports like football, soccer, and basketball. Everyone is welcome!","5, 10",Flex,minor,Sports/Wellness
Walks for Wellness,Lein,"Do you ever feel stressed during the day and need a healthy way to reset? Join the Walks for Wellness Club! In this club, students will use Flex Block to take supervised walks around campus as a way to reduce stress, get moving, and socialize with others. In addition to our regular meetings, there will be an optional weekend hike once a month for students who want a more active workout and a chance to enjoy the outdoors. The club will also explore the connection between physical activity and mental wellness, including how exercise can help reduce stress, improve mood, and support overall well-being.",5,Flex,minor,Sports/Wellness
Writing Center,Gondi,"The Shipley Writing Center offers one-on-one assistance to students at all stages of the writing process, from brainstorming ideas to polishing final drafts. Trained peer tutors help students with various types of writing, including English essays, history essays, and lab reports. The center aims to help students become more confident and skilled writers. Only trained peer tutors can sign up to staff the writing center. For this year, those individuals are the ones who received training in the spring of 2024. If you are a trained peer tutor, sign up for one or two slots during the blue or green week. Our aim is to ensure coverage for all available sessions, which are Monday, Wednesday, and Thursday during the blue or green week. We would like to have each covered by a minimum of two students.","3, 4, 8, 9",Long Break,major,Peer Tutoring
Yearbook,Kinsella,Do you look forward to receiving a yearbook at the end of every school year? Do you enjoy flipping through the pages and being reminded of all the fun activities and special moments captured in photographs? Well how would you like to have a hand in the actual layout and design of our yearbooks? Join Yearbook Club and you will have the opportunity to work with a talented team of students who are dedicated to delivering a quality product each year. Join us and forever leave your mark in the long legacy of Shipley Yearbooks.,"4, 6",Flex,major,Publications/Media
Yoga,Saulino,"Students will learn about the history and philosophy of yoga, as well as practice yoga for improved well-being and flexibility. Yoga does not count as PE Credit.",7,Flex,minor,Sports/Wellness
